"age_n","isotope","id","zeros"
2,"d13C","T3",0.504739310578722
2,"d13C","T3",0.522847478604935
2,"d13C","T3",0.631404066236214
2,"d13C","T3",0.652156572596313
2,"d13C","T3",0.699747481260682
2,"d13C","T3",0.718074665829039
2,"d13C","T3",0.730375136969009
2,"d13C","T3",0.752627038394563
2,"d13C","T3",0.77342626752398
2,"d13C","T3",0.870429240759565
2,"d13C","T3",0.951798838110899
2,"d13C","T17",0.0777748062173105
2,"d13C","T17",0.163703703703704
2,"d13C","T17",0.180613131981748
2,"d13C","T17",0.195536733958855
2,"d13C","T17",0.252667101331535
2,"d13C","T17",0.357345342540865
2,"d13C","T17",0.386208037961338
2,"d13C","T17",0.47281831561685
2,"d13C","T17",0.537871462544484
2,"d13C","T17",0.692375612102731
2,"d13C","T17",0.699398148148148
2,"d13C","T17",0.71549300209801
2,"d13C","T17",0.870151462819063
3,"d13C","T15",0.119550252016887
3,"d13C","T15",0.20864910680169
3,"d13C","T15",0.242025822381346
3,"d13C","T15",0.312448960878321
3,"d13C","T15",0.41254032279035
3,"d13C","T15",0.542751864223576
3,"d13C","T15",0.620620047989871
3,"d13C","T15",0.644365325533685
3,"d13C","T15",0.710447954635509
3,"d13C","T15",0.762791203901031
3,"d13C","T15",0.799536714656538
3,"d13C","T15",0.808583333333333
3,"d13C","T15",0.897235198925786
3,"d13C","T15",0.930259904020258
3,"d13C","T15",0.945950642191263
3,"d13C","T6",0.0393315183256706
3,"d13C","T6",0.0859198435615063
3,"d13C","T6",0.127222848624402
3,"d13C","T6",0.198687776111481
3,"d13C","T6",0.241513412518351
3,"d13C","T6",0.376746089950508
3,"d13C","T6",0.432970029198008
3,"d13C","T6",0.496430001334579
3,"d13C","T6",0.542543723314172
3,"d13C","T6",0.550590044393598
3,"d13C","T6",0.643867312103043
3,"d13C","T6",0.779160262875885
3,"d13C","T6",0.795172711993975
3,"d13C","T6",0.837611408782472
3,"d13C","T6",0.916912677330267
3,"d13C","T6",0.930082726041934
3,"d13C","T6",0.950247153114918
3,"d13C","T6",0.962362778955982
3,"d13C","T11",0.0213648547078741
3,"d13C","T11",0.0477377372432927
3,"d13C","T11",0.0835660422381076
3,"d13C","T11",0.119661595215225
3,"d13C","T11",0.172082630335081
3,"d13C","T11",0.219682636237343
3,"d13C","T11",0.272529988327236
3,"d13C","T11",0.366216120762242
3,"d13C","T11",0.37710947342049
3,"d13C","T11",0.393232326094735
3,"d13C","T11",0.421512381882522
3,"d13C","T11",0.478851802403204
3,"d13C","T11",0.559216717620376
3,"d13C","T11",0.59575006304191
3,"d13C","T11",0.616394526999003
3,"d13C","T11",0.620390236567605
3,"d13C","T11",0.629036714824737
3,"d13C","T11",0.670560672098526
3,"d13C","T11",0.742894726641514
3,"d13C","T11",0.763943062263479
3,"d13C","T11",0.837237625553492
3,"d13C","T11",0.903181681275399
3,"d13C","T11",0.933292851176987
4,"d13C","T7",0.127653926091623
4,"d13C","T7",0.16347341286537
4,"d13C","T7",0.175881642568794
4,"d13C","T7",0.231709095523274
4,"d13C","T7",0.259901382890939
4,"d13C","T7",0.287407407407407
4,"d13C","T7",0.29075261958947
4,"d13C","T7",0.402947075044189
4,"d13C","T7",0.470362648009482
4,"d13C","T7",0.494522984574635
4,"d13C","T7",0.506233712322814
4,"d13C","T7",0.572903613866568
4,"d13C","T7",0.643830429101531
4,"d13C","T7",0.694099826411515
4,"d13C","T7",0.754134018243021
4,"d13C","T7",0.800860769727147
4,"d13C","T7",0.815287539131773
4,"d13C","T7",0.828852823199806
4,"d13C","T7",0.839874076309346
4,"d13C","T7",0.85701693633907
4,"d13C","T7",0.866064455858863
4,"d13C","T7",0.921436175845106
4,"d13C","T7",0.966675568858816
4,"d13C","T7",0.981536652225676
4,"d13C","T32",0.066969696969697
4,"d13C","T32",0.0905947440346343
4,"d13C","T32",0.115757575757576
4,"d13C","T32",0.127326559013244
4,"d13C","T32",0.175483039327355
4,"d13C","T32",0.194376721617716
4,"d13C","T32",0.249639300296446
4,"d13C","T32",0.366333855407994
4,"d13C","T32",0.42396385481396
4,"d13C","T32",0.477435622375703
4,"d13C","T32",0.530556455729152
4,"d13C","T32",0.547805813423101
4,"d13C","T32",0.559893779883624
4,"d13C","T32",0.597123007076552
4,"d13C","T32",0.680227909771891
4,"d13C","T32",0.736244633285758
4,"d13C","T32",0.744906187295295
4,"d13C","T32",0.754306468492246
4,"d13C","T32",0.763801651834072
4,"d13C","T32",0.782121783696249
4,"d13C","T32",0.802902707244285
4,"d13C","T32",0.863081061369454
4,"d13C","T32",0.948459343775839
4,"d13C","T32",0.971837783242005
0,"d15N","7",0.583263288026829
0,"d15N","7",0.662795293294889
0,"d15N","7",0.808848610941264
0,"d15N","7",0.859878147808119
0,"d15N","7",0.941654070004545
0,"d15N","8",0.561473659930125
0,"d15N","8",0.647115200734118
0,"d15N","8",0.696471962625386
0,"d15N","8",0.741959643518974
0,"d15N","8",0.811557905163643
0,"d15N","8",0.854478423147618
0,"d15N","8",0.880974873336852
0,"d15N","8",0.924565192604559
0,"d15N","8",0.940534722787672
0,"d15N","9",0.235917219567375
0,"d15N","9",0.421579159902081
0,"d15N","9",0.565363462108354
0,"d15N","9",0.612640902879583
0,"d15N","9",0.687435429898295
0,"d15N","9",0.735467789603914
0,"d15N","9",0.764830456180864
0,"d15N","9",0.809375
0,"d15N","9",0.895233575526774
0,"d15N","9",0.925816464442774
0,"d15N","13",0.38715911168155
0,"d15N","13",0.464818090382409
0,"d15N","13",0.54642959875599
0,"d15N","13",0.629451631434352
0,"d15N","13",0.681498019448879
0,"d15N","13",0.755490889546591
0,"d15N","20",0.300111027338783
0,"d15N","20",0.387985292824895
0,"d15N","20",0.445375506080038
0,"d15N","20",0.521724158970838
0,"d15N","20",0.615740643616581
0,"d15N","20",0.63766086000042
0,"d15N","20",0.654822759654745
0,"d15N","20",0.741172279169458
0,"d15N","22",0.445393110507882
0,"d15N","22",0.586754078696678
0,"d15N","24",0.171546840902247
0,"d15N","24",0.390302238879717
0,"d15N","24",0.579452049981841
0,"d15N","26",0.477931098541488
0,"d15N","26",0.945721586508073
0,"d15N","26",0.984810801782652
0,"d15N","27",0.243836368050857
0,"d15N","27",0.587368847925053
0,"d15N","27",0.695947336315457
0,"d15N","27",0.77274434572626
0,"d15N","31",0.418367898853196
0,"d15N","31",0.488567874436049
0,"d15N","31",0.606500361698281
0,"d15N","31",0.674184039106407
0,"d15N","31",0.786307302602797
0,"d15N","31",0.806274840328887
0,"d15N","31",0.8588756616942
0,"d15N","32",0.519662511030724
0,"d15N","32",0.592652022505187
0,"d15N","32",0.636590217693435
0,"d15N","33",0.462673437817501
0,"d15N","33",0.637667659937164
0,"d15N","33",0.719179772023817
0,"d15N","34",0.171891790985762
0,"d15N","34",0.235466856707639
0,"d15N","34",0.328416175850651
0,"d15N","34",0.34375419396225
0,"d15N","34",0.349874188913433
0,"d15N","34",0.483036999241241
0,"d15N","34",0.587385541730547
0,"d15N","34",0.681347982131727
0,"d15N","34",0.732875905091661
0,"d15N","34",0.775712928550637
0,"d15N","34",0.821542496883078
0,"d15N","34",0.949414540412778
0,"d15N","34",0.989101976744376
2,"d15N","T5",0.119335246718323
2,"d15N","T5",0.212540149497259
2,"d15N","T5",0.325442951184408
2,"d15N","T5",0.341720322543532
2,"d15N","T5",0.419846081255354
2,"d15N","T5",0.559524733005641
2,"d15N","T5",0.611175501164789
2,"d15N","T5",0.68052257639312
2,"d15N","T5",0.717673859606907
2,"d15N","T5",0.782199417378338
2,"d15N","T5",0.800595238857526
2,"d15N","T5",0.836469977488402
2,"d15N","T5",0.878092377670764
2,"d15N","T5",0.902469539894528
2,"d15N","T3",0.202162597334692
2,"d15N","T3",0.504495760427634
2,"d15N","T3",0.722318568627978
2,"d15N","T3",0.84868344200268
2,"d15N","T3",0.930711505110862
2,"d15N","T17",0.181037592932928
2,"d15N","T17",0.206139084974636
2,"d15N","T17",0.361064814814815
2,"d15N","T17",0.462819638085404
2,"d15N","T17",0.541504118778284
2,"d15N","T17",0.56030934937064
2,"d15N","T17",0.568285463840671
2,"d15N","T17",0.689095298318574
2,"d15N","T17",0.791069853179971
2,"d15N","T17",0.819527435134933
2,"d15N","T17",0.88437795249592
2,"d15N","T17",0.984102924543842
3,"d15N","T15",0.14184340354189
3,"d15N","T15",0.258942127478662
3,"d15N","T15",0.316210727431678
3,"d15N","T15",0.380271116302498
3,"d15N","T15",0.419787776457294
3,"d15N","T15",0.433315198302248
3,"d15N","T15",0.452609643152542
3,"d15N","T15",0.549374065399641
3,"d15N","T15",0.604571202733559
3,"d15N","T15",0.644055367753001
3,"d15N","T15",0.736170054904194
